date,temperature,humidity,pressure
2020-01-01,0,65.2,1013.2
2020-01-02,0,64.8,1013.5
2020-01-03,0,66.5,1012.8
2020-01-04,0,62.1,1014.1
2020-01-05,0,61.5,1014.8
2020-01-06,0,60.2,1015.2
2020-01-07,0,63.4,1014.5
2020-01-08,0,65.8,1013.9
2020-01-09,0,67.2,1013.1
2020-01-10,0,68.5,1012.5
2020-01-11,0,70.1,1011.8
2020-01-12,0,69.5,1012.2
2020-01-13,0,68.2,1012.9
2020-01-14,0,66.8,1013.6
2020-01-15,0,64.5,1014.3
2020-01-16,0,62.8,1015.1
2020-01-17,0,61.2,1015.8
2020-01-18,0,62.5,1015.4
2020-01-19,0,64.1,1014.7
2020-01-20,0,66.3,1013.8
2020-01-21,0,67.9,1013.2
2020-01-22,0,68.8,1012.7
2020-01-23,0,67.5,1013.4
2020-01-24,0,65.9,1014.2
2020-01-25,0,63.7,1014.9
2020-01-26,0,61.8,1015.6
2020-01-27,0,59.5,1016.2
2020-01-28,0,60.8,1015.9
2020-01-29,0,62.9,1015.1
2020-01-30,0,65.2,1014.3
2020-01-31,0,66.8,1013.7
2020-02-01,0,67.5,1013.3
2020-02-02,0,66.2,1013.9
2020-02-03,0,64.1,1014.6
2020-02-04,0,62.3,1015.3
2020-02-05,0,60.7,1016.0
2020-02-06,0,59.2,1016.5
2020-02-07,0,61.4,1015.8
2020-02-08,0,63.8,1015.0
2020-02-09,0,65.9,1014.2
2020-02-10,0,67.3,1013.6
2020-02-11,0,68.5,1013.1
2020-02-12,0,67.8,1013.5
2020-02-13,0,66.1,1014.3
2020-02-14,0,63.9,1015.1
2020-02-15,0,61.6,1015.9
2020-02-16,0,59.8,1016.6
2020-02-17,0,58.5,1017.1
2020-02-18,0,60.2,1016.4
2020-02-19,0,62.7,1015.6
2020-02-20,0,64.8,1014.8
2020-02-21,0,66.5,1014.1
2020-02-22,0,67.7,1013.6
2020-02-23,0,66.4,1014.2
2020-02-24,0,64.3,1015.0
2020-02-25,0,62.1,1015.7
2020-02-26,0,60.3,1016.4
2020-02-27,0,58.7,1017.0
2020-02-28,0,57.2,1017.5
2020-02-29,0,59.1,1016.8
2020-03-01,0,61.3,1016.1
2020-03-02,0,63.5,1015.3
2020-03-03,0,65.2,1014.6
2020-03-04,0,66.8,1014.0
2020-03-05,0,65.5,1014.5
2020-03-06,0,63.2,1015.2
2020-03-07,0,61.0,1016.0
2020-03-08,0,59.1,1016.7
2020-03-09,0,57.5,1017.3
2020-03-10,0,59.3,1016.6
2020-03-11,0,61.8,1015.8
2020-03-12,0,63.9,1015.1
2020-03-13,0,65.7,1014.4
2020-03-14,0,67.1,1013.9
2020-03-15,0,66.0,1014.4
2020-03-16,0,63.8,1015.1
2020-03-17,0,61.5,1015.9
2020-03-18,0,59.4,1016.6
2020-03-19,0,57.8,1017.2
2020-03-20,0,59.6,1016.5
2020-03-21,0,62.1,1015.7
2020-03-22,0,64.3,1015.0
2020-03-23,0,66.0,1014.3
2020-03-24,0,67.4,1013.8
2020-03-25,0,66.2,1014.3
2020-03-26,0,64.0,1015.0
2020-03-27,0,61.8,1015.8
2020-03-28,0,59.7,1016.5
2020-03-29,0,58.1,1017.1
2020-03-30,0,59.9,1016.4
2020-03-31,0,62.4,1015.6
2020-04-01,0,64.6,1014.9
2020-04-02,0,66.3,1014.2
2020-04-03,0,67.7,1013.7
2020-04-04,0,66.5,1014.2
2020-04-05,0,64.3,1014.9
2020-04-06,0,62.1,1015.7
2020-04-07,0,60.0,1016.4
2020-04-08,0,58.4,1017.0
2020-04-09,0,60.2,1016.3
2020-04-10,0,62.7,1015.5
2020-04-11,0,64.9,1014.8
2020-04-12,0,66.6,1014.1
2020-04-13,0,67.9,1013.6
2020-04-14,0,66.8,1014.1
2020-04-15,0,64.6,1014.8
2020-04-16,0,62.4,1015.6
2020-04-17,0,60.3,1016.3
2020-04-18,0,58.7,1016.9
2020-04-19,0,60.5,1016.2
2020-04-20,0,63.0,1015.4
2020-04-21,0,65.2,1014.7
2020-04-22,0,66.9,1014.0
2020-04-23,0,68.2,1013.5
2020-04-24,0,67.1,1014.0
2020-04-25,0,64.9,1014.7
2020-04-26,0,62.7,1015.5
2020-04-27,0,60.6,1016.2
2020-04-28,0,59.0,1016.8
2020-04-29,0,60.8,1016.1
2020-04-30,0,63.3,1015.3
2020-05-01,0,65.5,1014.6
2020-05-02,0,67.2,1013.9
2020-05-03,0,68.5,1013.4
2020-05-04,0,67.4,1013.9
2020-05-05,0,65.2,1014.6
2020-05-06,0,63.0,1015.4
2020-05-07,0,60.9,1016.1
2020-05-08,0,59.3,1016.7
2020-05-09,0,61.1,1016.0
2020-05-10,0,63.6,1015.2
2020-05-11,0,65.8,1014.5
2020-05-12,0,67.5,1013.8
2020-05-13,0,68.8,1013.3
2020-05-14,0,67.7,1013.8
2020-05-15,0,65.5,1014.5
2020-05-16,0,63.3,1015.3
2020-05-17,0,61.2,1016.0
2020-05-18,0,59.6,1016.6
2020-05-19,0,61.4,1015.9
2020-05-20,0,63.9,1015.1
2020-05-21,0,66.1,1014.4
2020-05-22,0,67.8,1013.7
2020-05-23,0,69.1,1013.2
2020-05-24,0,68.0,1013.7
2020-05-25,0,65.8,1014.4
2020-05-26,0,63.6,1015.2
2020-05-27,0,61.5,1015.9
2020-05-28,0,59.9,1016.5
2020-05-29,0,61.7,1015.8
2020-05-30,0,64.2,1015.0
2020-05-31,0,66.4,1014.3
2020-06-01,0,68.1,1013.6
2020-06-02,0,69.4,1013.1
2020-06-03,0,68.3,1013.6
2020-06-04,0,66.1,1014.3
2020-06-05,0,63.9,1015.1
2020-06-06,0,61.8,1015.8
2020-06-07,0,60.2,1016.4
2020-06-08,0,62.0,1015.7
2020-06-09,0,64.5,1014.9
2020-06-10,0,66.7,1014.2
2020-06-11,0,68.4,1013.5
2020-06-12,0,69.7,1013.0
2020-06-13,0,68.6,1013.5
2020-06-14,0,66.4,1014.2
2020-06-15,0,64.2,1015.0
2020-06-16,0,62.1,1015.7
2020-06-17,0,60.5,1016.3
2020-06-18,0,62.3,1015.6
2020-06-19,0,64.8,1014.8
2020-06-20,0,67.0,1014.1
2020-06-21,0,68.7,1013.4
2020-06-22,0,70.0,1012.9
2020-06-23,0,68.9,1013.4
2020-06-24,0,66.7,1014.1
2020-06-25,0,64.5,1014.9
2020-06-26,0,62.4,1015.6
2020-06-27,0,60.8,1016.2
2020-06-28,0,62.6,1015.5
2020-06-29,0,65.1,1014.7
2020-06-30,0,67.3,1014.0
2020-07-01,0,69.0,1013.3
2020-07-02,0,70.3,1012.8
2020-07-03,0,69.2,1013.3
2020-07-04,0,67.0,1014.0
2020-07-05,0,64.8,1014.8
2020-07-06,0,62.7,1015.5
2020-07-07,0,61.1,1016.1
2020-07-08,0,62.9,1015.4
2020-07-09,0,65.4,1014.6
2020-07-10,0,67.6,1013.9
2020-07-11,0,69.3,1013.2
2020-07-12,0,70.6,1012.7
2020-07-13,0,69.5,1013.2
2020-07-14,0,67.3,1013.9
2020-07-15,0,65.1,1014.7
2020-07-16,0,63.0,1015.4
2020-07-17,0,1016.0,1015.4
